service_description,category
repair leaking faucet in bathroom sink,plumbing
replace broken toilet,plumbing
unclog bathtub drain,plumbing
repair leaking shower head,plumbing
install new dishwasher,plumbing
install new bathroom vanity,plumbing
repair leaking water heater,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new security system,electrical
install new smoke detectors,electrical
upgrade electrical panel,electrical
install new doorbell with video camera,electrical
install new light fixtures in hallway,electrical
troubleshoot and repair faulty outlet in bedroom,electrical
install new ceiling fan in living room,electrical
paint kitchen cabinets white,painting
paint bedroom walls a calming blue color,painting
paint exterior trim,painting
"paint entire house, interior and exterior",painting
paint accent wall in living room,painting
paint porch and patio furniture,painting
paint kitchen backsplash,painting
paint exterior door,painting
paint bathroom walls and ceiling,painting
paint living room fireplace,painting
paint bedroom closet,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint living room fireplace,painting
paint exterior door,painting
paint bedroom closet,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint bedroom closet,painting
paint living room fireplace,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint living room fireplace,painting
paint hallway walls,painting
paint bedroom closet,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint living room fireplace,painting
clean air conditioning vents,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire house,cleaning
clean oven and stovetop,cleaning
clean entire kitchen,cleaning
clean floors throughout the house,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire bathroom,cleaning
clean oven and stovetop,cleaning
clean air conditioning vents,cleaning
