"category","service_description"
"plumbing","Repair leaking faucet in bathroom sink"
"electrical","Install new ceiling fan in living room"
"painting","Paint kitchen cabinets white"
"cleaning","Deep clean entire house, including bathrooms and kitchen"
"landscaping","Mow lawn and trim hedges"
"plumbing","Replace broken toilet"
"electrical","Troubleshoot and repair faulty outlet in bedroom"
"moving","Move furniture within house, including piano"
"handyman","Install new door handle and lock"
"cleaning","Clean windows throughout the house"
"plumbing","Unclog bathtub drain"
"electrical","Install new light fixtures in hallway"
"painting","Paint bedroom walls a calming blue color"
"landscaping","Plant new flowers in garden beds"
"handyman","Fix leaky roof"
"cleaning","Clean carpets and upholstery throughout the house"
"plumbing","Repair leaking shower head"
"electrical","Install new doorbell with video camera"
"moving","Move belongings from basement to attic"
"painting","Paint exterior trim"
"landscaping","Remove old tree stump from backyard"
"handyman","Replace broken window pane"
"cleaning","Clean gutters and downspouts"
"plumbing","Install new dishwasher"
"electrical","Upgrade electrical panel"
"moving","Move boxes from storage unit to new house"
"painting","Paint entire house, interior and exterior"
"landscaping","Install new sprinkler system"
"handyman","Repair damaged drywall"
"cleaning","Clean oven and stovetop"
"plumbing","Install new bathroom vanity"
"electrical","Install new smoke detectors"
"moving","Move belongings from one apartment to another"
"painting","Paint accent wall in living room"
"landscaping","Remove weeds from flowerbeds"
"handyman","Replace broken window screen"
"cleaning","Clean refrigerator and freezer"
"plumbing","Repair leaking water heater"
"electrical","Install new security system"
"moving","Move furniture to new office space"
"painting","Paint porch and patio furniture"
"landscaping","Aerate and fertilize lawn"
"handyman","Replace broken tile in bathroom floor"
"cleaning","Clean garage and shed"
"plumbing","Install new garbage disposal"
"electrical","Install new outdoor lighting"
"moving","Move heavy items, such as a piano, up a flight of stairs"
"painting","Paint kitchen backsplash"
"landscaping","Install new fence"
"handyman","Repair leaky faucet in kitchen sink"
"cleaning","Clean air conditioning vents"
"plumbing","Install new water softener"
"electrical","Install new ceiling fan in bedroom"
"moving","Move belongings from one house to another"
"painting","Paint bathroom walls and ceiling"
"landscaping","Trim trees and bushes"
"handyman","Replace broken door hinge"
"cleaning","Clean baseboards and moldings throughout the house"
"plumbing","Repair leaking pipe under kitchen sink"
"electrical","Install new electrical outlet in living room"
"moving","Move appliances to new location"
"painting","Paint exterior door"
"landscaping","Install new walkway"
"handyman","Fix broken cabinet door"
"cleaning","Clean entire bathroom"
"plumbing","Replace old showerhead with a new one"
"electrical","Install new recessed lighting in kitchen"
"moving","Move boxes from one room to another"
"painting","Paint living room fireplace"
"landscaping","Install new patio furniture"
"handyman","Fix broken drawer slide"
"cleaning","Clean entire kitchen"
"plumbing","Install new bathroom fixtures"
"electrical","Install new outdoor security cameras"
"moving","Move heavy furniture to a different room"
"painting","Paint bedroom closet"
"landscaping","Install new outdoor lighting"
"handyman","Repair leaky roof"
"cleaning","Clean floors throughout the house"
"plumbing","Repair leaking toilet"
"electrical","Install new electrical outlet in garage"
"moving","Move small items, such as boxes, from one location to another"
"painting","Paint hallway walls"
"landscaping","Remove dead plants and debris"
"handyman","Replace broken window screen"
"cleaning","Clean entire house"
"plumbing","Install new bathroom vanity"
"electrical","Install new smoke detectors"
"moving","Move boxes from storage unit to new house"
"painting","Paint exterior trim"
"landscaping","Install new sprinkler system"
"handyman","Repair damaged drywall"
"cleaning","Clean oven and stovetop"
"plumbing","Install new garbage disposal"
"electrical","Install new outdoor lighting"
"moving","Move heavy items, such as a piano, up a flight of stairs"
"painting","Paint kitchen backsplash"
"landscaping","Install new fence"
"handyman","Repair leaky faucet in kitchen sink"
"cleaning","Clean air conditioning vents"
"plumbing","Install new water softener"
"electrical","Install new ceiling fan in bedroom"
"moving","Move belongings from one house to another"
"painting","Paint bathroom walls and ceiling"
"landscaping","Trim trees and bushes"
"handyman","Replace broken door hinge"
"cleaning","Clean baseboards and moldings throughout the house"
"plumbing","Repair leaking pipe under kitchen sink"
"electrical","Install new electrical outlet in living room"
"moving","Move appliances to new location"
"painting","Paint exterior door"
"landscaping","Install new walkway"
"handyman","Fix broken cabinet door"
"cleaning","Clean entire bathroom"
"plumbing","Replace old showerhead with a new one"
"electrical","Install new recessed lighting in kitchen"
"moving","Move boxes from one room to another"
"painting","Paint living room fireplace"
"landscaping","Install new patio furniture"
"handyman","Fix broken drawer slide"
"cleaning","Clean entire kitchen"
"plumbing","Install new bathroom fixtures"
"electrical","Install new outdoor security cameras"
"moving","Move heavy furniture to a different room"
"painting","Paint bedroom closet"
"landscaping","Install new outdoor lighting"
"handyman","Repair leaky roof"
"cleaning","Clean floors throughout the house"
"plumbing","Repair leaking toilet"
"electrical","Install new electrical outlet in garage"
"moving","Move small items, such as boxes, from one location to another"
"painting","Paint hallway walls"
"landscaping","Remove dead plants and debris"
"handyman","Replace broken window screen"
"cleaning","Clean entire house"
"plumbing","Install new bathroom vanity"
"electrical","Install new smoke detectors"
"moving","Move boxes from storage unit to new house"
"painting","Paint exterior trim"
"landscaping","Install new sprinkler system"
"handyman","Repair damaged drywall"
"cleaning","Clean oven and stovetop"
"plumbing","Install new garbage disposal"
"electrical","Install new outdoor lighting"
"moving","Move heavy items, such as a piano, up a flight of stairs"
"painting","Paint kitchen backsplash"
"landscaping","Install new fence"
"handyman","Repair leaky faucet in kitchen sink"
"cleaning","Clean air conditioning vents"
"plumbing","Install new water softener"
"electrical","Install new ceiling fan in bedroom"
"moving","Move belongings from one house to another"
"painting","Paint bathroom walls and ceiling"
"landscaping","Trim trees and bushes"
"handyman","Replace broken door hinge"
"cleaning","Clean baseboards and moldings throughout the house"
"plumbing","Repair leaking pipe under kitchen sink"
"electrical","Install new electrical outlet in living room"
"moving","Move appliances to new location"
"painting","Paint exterior door"
"landscaping","Install new walkway"
"handyman","Fix broken cabinet door"
"cleaning","Clean entire bathroom"
"plumbing","Replace old showerhead with a new one"
"electrical","Install new recessed lighting in kitchen"
"moving","Move boxes from one room to another"
"painting","Paint living room fireplace"
"landscaping","Install new patio furniture"
"handyman","Fix broken drawer slide"
"cleaning","Clean entire kitchen"
"plumbing","Install new bathroom fixtures"
"electrical","Install new outdoor security cameras"
"moving","Move heavy furniture to a different room"
"painting","Paint bedroom closet"
"landscaping","Install new outdoor lighting"
"handyman","Repair leaky roof"
"cleaning","Clean floors throughout the house"
"plumbing","Repair leaking toilet"
"electrical","Install new electrical outlet in garage"
"moving","Move small items, such as boxes, from one location to another"
"painting","Paint hallway walls"
"landscaping","Remove dead plants and debris"
"handyman","Replace broken window screen"
"cleaning","Clean entire house"
"plumbing","Install new bathroom vanity"
"electrical","Install new smoke detectors"
"moving","Move boxes from storage unit to new house"
"painting","Paint exterior trim"
"landscaping","Install new sprinkler system"
"handyman","Repair damaged drywall"
"cleaning","Clean oven and stovetop"
"plumbing","Install new garbage disposal"
"electrical","Install new outdoor lighting"
"moving","Move heavy items, such as a piano, up a flight of stairs"
"painting","Paint kitchen backsplash"
"landscaping","Install new fence"
"handyman","Repair leaky faucet in kitchen sink"
"cleaning","Clean air conditioning vents"
"plumbing","Install new water softener"
"electrical","Install new ceiling fan in bedroom"
"moving","Move belongings from one house to another"
"painting","Paint bathroom walls and ceiling"
"landscaping","Trim trees and bushes"
"handyman","Replace broken door hinge"
"cleaning","Clean baseboards and moldings throughout the house"
"plumbing","Repair leaking pipe under kitchen sink"
"electrical","Install new electrical outlet in living room"
"moving","Move appliances to new location"
"painting","Paint exterior door"
"landscaping","Install new walkway"
"handyman","Fix broken cabinet door"
"cleaning","Clean entire bathroom"
"plumbing","Replace old showerhead with a new one"
"electrical","Install new recessed lighting in kitchen"
"moving","Move boxes from one room to another"
"painting","Paint living room fireplace"
"landscaping","Install new patio furniture"
"handyman","Fix broken drawer slide"
"cleaning","Clean entire kitchen"
"plumbing","Install new bathroom fixtures"
"electrical","Install new outdoor security cameras"
"moving","Move heavy furniture to a different room"
"painting","Paint bedroom closet"
"landscaping","Install new outdoor lighting"
"handyman","Repair leaky roof"
"cleaning","Clean floors throughout the house"
"plumbing","Repair leaking toilet"
"electrical","Install new electrical outlet in garage"
"moving","Move small items, such as boxes, from one location to another"
"painting","Paint hallway walls"
"landscaping","Remove dead plants and debris"
"handyman","Replace broken window screen"
"cleaning","Clean entire house"
"plumbing","Install new bathroom vanity"
"electrical","Install new smoke detectors"
"moving","Move boxes from storage unit to new house"
"painting","Paint exterior trim"
"landscaping","Install new sprinkler system"
"handyman","Repair damaged drywall"
"cleaning","Clean oven and stovetop"
"plumbing","Install new garbage disposal"
"electrical","Install new outdoor lighting"
"moving","Move heavy items, such as a piano, up a flight of stairs"
"painting","Paint kitchen backsplash"
"landscaping","Install new fence"
"handyman","Repair leaky faucet in kitchen sink"
"cleaning","Clean air conditioning vents"
"plumbing","Install new water softener"
"electrical","Install new ceiling fan in bedroom"
"moving","Move belongings from one house to another"
"painting","Paint bathroom walls and ceiling"
"landscaping","Trim trees and bushes"
"handyman","Replace broken door hinge"
"cleaning","Clean baseboards and moldings throughout the house"
"plumbing","Repair leaking pipe under kitchen sink"
"electrical","Install new electrical outlet in living room"
"moving","Move appliances to new location"
"painting","Paint exterior door"
"landscaping","Install new walkway"
"handyman","Fix broken cabinet door"
"cleaning","Clean entire bathroom"
"plumbing","Replace old showerhead with a new one"
"electrical","Install new recessed lighting in kitchen"
"moving","Move boxes from one room to another"
"painting","Paint living room fireplace"
"landscaping","Install new patio furniture"
"handyman","Fix broken drawer slide"
"cleaning","Clean entire kitchen"
